Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Panyam,138,GOWRU CHARITHA REDDY,Telugu Desam,KATASANI RAMABHUPAL REDDY,Yuvajana Sramika Rythu Congress Party,40591,Result Declared
Parchur,104,YELURI SAMBASIVA RAO,Telugu Desam,YADAM BALAJI,Yuvajana Sramika Rythu Congress Party,24013,Result Declared
Parvathipuram,12,BONELA VIJAYA CHANDRA,Telugu Desam,ALAJANGI JOGARAO,Yuvajana Sramika Rythu Congress Party,24414,Result Declared
Pathapatnam,4,MAMIDI GOVINDA RAO,Telugu Desam,REDDY SHANTHI,Yuvajana Sramika Rythu Congress Party,26527,Result Declared
Pattikonda,142,K.E. SHYAM KUMAR,Telugu Desam,KANGATI SREEDEVI,Yuvajana Sramika Rythu Congress Party,14211,Result Declared
Payakaraopet,33,ANITHA VANGALAPUDI,Telugu Desam,JOGULU KAMBALA,Yuvajana Sramika Rythu Congress Party,43727,Result Declared
Pedakurapadu,85,BHASHYAM PRAVEEN,Telugu Desam,NAMBURU SANKARA RAO,Yuvajana Sramika Rythu Congress Party,21089,Result Declared
Pedana,74,KAGITHA KRISHNAPRASAD,Telugu Desam,UPPALA RAMESH(RAMU),Yuvajana Sramika Rythu Congress Party,38123,Result Declared
Peddapuram,39,CHINA RAJAPPA NIMMAKAYALA,Telugu Desam,DAVULURI DORABABU,Yuvajana Sramika Rythu Congress Party,40451,Result Declared
Penamaluru,78,BODE PRASAD,Telugu Desam,JOGI RAMESH,Yuvajana Sramika Rythu Congress Party,59915,Result Declared
Pendurthi,31,PANCHAKARLA RAMESH BABU,Janasena Party,ANNAMREDDY ADEEP RAJ,Yuvajana Sramika Rythu Congress Party,81870,Result Declared
Penukonda,158,S. SAVITHA,Telugu Desam,K.V. USHA SHRICHARAN,Yuvajana Sramika Rythu Congress Party,33388,Result Declared
Pileru,163,NALLARI KISHAN KUMAR REDDY,Telugu Desam,CHINTHALA RAMACHANDRA REDDY,Yuvajana Sramika Rythu Congress Party,25081,Result Declared
Pithapuram,37,KONIDALA PAWAN KALYAN,Janasena Party,VANGA GEETHA VISWANATH,Yuvajana Sramika Rythu Congress Party,70279,Result Declared
Polavaram,67,CHIRRI BALARAJU,Janasena Party,TELLAM RAJYA LAKSHMI,Yuvajana Sramika Rythu Congress Party,7935,Result Declared
Ponnur,88,DHULIPALLA NARENDRA KUMAR,Telugu Desam,AMBATI MURALI KRISHNA,Yuvajana Sramika Rythu Congress Party,32915,Result Declared
Prathipadu,36,VARUPULA SATYA PRABHA,Telugu Desam,VARUPULA SUBBARAO,Yuvajana Sramika Rythu Congress Party,38768,Result Declared
Prathipadu (SC),93,BURLA RAMANJANEYULU,Telugu Desam,BALASANI KIRAN KUMAR,Yuvajana Sramika Rythu Congress Party,42015,Result Declared
Proddatur,132,NANDYALA VARADA RAJULA REDDY,Telugu Desam,RACHAMALLU SIVA PRASAD REDDY,Yuvajana Sramika Rythu Congress Party,22744,Result Declared
Pulivendla,129,YS JAGAN MOHAN REDDY,Yuvajana Sramika Rythu Congress Party,B.TECH RAVI,Telugu Desam,61687,Result Declared
Punganur,165,PEDDIREDDI RAMACHANDRA REDDY,Yuvajana Sramika Rythu Congress Party,CHALLA RAMACHANDRA REDDY,Telugu Desam,6095,Result Declared
Puthalapattu (SC),173,K MURALI MOHAN,Telugu Desam,M SUNEEL KUMAR,Yuvajana Sramika Rythu Congress Party,15634,Result Declared
Puttaparthi,159,PALLE SINDHURA REDDY,Telugu Desam,DUDDUKUNTA SREEDHAR REDDY,Yuvajana Sramika Rythu Congress Party,8760,Result Declared
Rajahmundry City,50,ADIREDDY SRINIVAS,Telugu Desam,MARGANI BHARAT RAM,Yuvajana Sramika Rythu Congress Party,71404,Result Declared
Rajahmundry Rural,51,GORANTLA BUTCHAIAH CHOUDARY,Telugu Desam,GOPALAKRISHNA CHELLUBOYINA(VENU),Yuvajana Sramika Rythu Congress Party,64090,Result Declared
Rajam,9,KONDRU MURALI MOHAN,Telugu Desam,DR. TALE RAJESH,Yuvajana Sramika Rythu Congress Party,20722,Result Declared
Rajampet,125,AKEPATI AMARNATH REDDY,Yuvajana Sramika Rythu Congress Party,BALA SUBRAMANYAM SUGAVASI,Telugu Desam,7016,Result Declared
Rajanagaram,49,BATHULA BALARAMAKRISHNA S/O GANGARAO,Janasena Party,JAKKAMPUDI RAJA,Yuvajana Sramika Rythu Congress Party,34049,Result Declared
Ramachandrapuram,42,VASAMSETTI. SUBASH,Telugu Desam,PILLI SURYA PRAKASH,Yuvajana Sramika Rythu Congress Party,26291,Result Declared
Rampachodavaram,53,MIRIYALA SIRISHA DEVI,Telugu Desam,NAGULAPALLI DHANALAKSHMI,Yuvajana Sramika Rythu Congress Party,9139,Result Declared
Raptadu,155,PARITALA SUNITHAMMA,Telugu Desam,THOPUDURTHI PRAKASH REDDY,Yuvajana Sramika Rythu Congress Party,23329,Result Declared
Rayachoti,128,MANDIPALLI RAMPRASAD REDDY,Telugu Desam,GADIKOTA SRIKANTH REDDY,Yuvajana Sramika Rythu Congress Party,2495,Result Declared
Rayadurg,148,KALAVA SRINIVASULU,Telugu Desam,METTU GOVINDA REDDY,Yuvajana Sramika Rythu Congress Party,41659,Result Declared
Razole,45,DEVA VARAPRASAD,Janasena Party,GOLLAPALLI SURYA RAO,Yuvajana Sramika Rythu Congress Party,39011,Result Declared
Repalle,90,ANAGANI SATYA PRASAD,Telugu Desam,EVURU GANESH,Yuvajana Sramika Rythu Congress Party,39947,Result Declared
Salur,13,GUMMIDI SANDHYARANI,Telugu Desam,RAJANNA DORA PEEDIKA,Yuvajana Sramika Rythu Congress Party,13733,Result Declared
